centroid,label,EM,dataset
0.9687425249861347,setosa,SHAP,iris
-0.27898141205029525,setosa,SHAP,iris
0.9851780687940923,setosa,SHAP,iris
0.9834423183091376,setosa,SHAP,iris
-0.737215895660188,setosa,SHAP,iris
0.9834706232411625,setosa,SHAP,iris
0.9640193268174093,setosa,SHAP,iris
0.766007234070606,versicolor,SHAP,iris
0.7652552034345791,versicolor,SHAP,iris
0.7577683313317735,versicolor,SHAP,iris
-0.5043625506902207,versicolor,SHAP,iris
-0.13812239984777222,versicolor,SHAP,iris
0.7644433948837174,versicolor,SHAP,iris
0.766007234070606,versicolor,SHAP,iris
0.7504110343020652,versicolor,SHAP,iris
0.7548751794429505,versicolor,SHAP,iris
0.7727495907278538,versicolor,SHAP,iris
0.7481141031641433,versicolor,SHAP,iris
0.726008268848208,versicolor,SHAP,iris
0.010028827111386225,versicolor,SHAP,iris
0.7548751794429505,versicolor,SHAP,iris
0.7690955857236483,versicolor,SHAP,iris
0.708071635295957,versicolor,SHAP,iris
-0.5560879365012147,versicolor,SHAP,iris
0.6137675946527541,versicolor,SHAP,iris
0.7606594891217163,versicolor,SHAP,iris
0.7557205777581867,versicolor,SHAP,iris
0.7748621666439394,versicolor,SHAP,iris
0.7563122067976634,versicolor,SHAP,iris
0.7781243423671222,versicolor,SHAP,iris
0.7837957396287759,versicolor,SHAP,iris
-0.2530073860537822,versicolor,SHAP,iris
0.7617257370201426,versicolor,SHAP,iris
0.7585841332133927,versicolor,SHAP,iris
-0.5350656819279425,versicolor,SHAP,iris
0.7615693743699077,versicolor,SHAP,iris
0.7528196839924471,versicolor,SHAP,iris
0.44453692217792423,virginica,SHAP,iris
0.44794617444807633,virginica,SHAP,iris
0.5126465956107921,virginica,SHAP,iris
0.0022560504721126995,virginica,SHAP,iris
0.29093659390176,virginica,SHAP,iris
0.4510785356279321,virginica,SHAP,iris
0.44453692217792423,virginica,SHAP,iris
0.5104351129673833,virginica,SHAP,iris
0.5000270023860194,virginica,SHAP,iris
0.37619775595912014,virginica,SHAP,iris
0.5210293165060376,virginica,SHAP,iris
0.4032343297155215,virginica,SHAP,iris
-0.004825793048290812,virginica,SHAP,iris
0.5000270023860194,virginica,SHAP,iris
0.5000402537008084,virginica,SHAP,iris
0.253951802642754,virginica,SHAP,iris
-0.08493455847875887,virginica,SHAP,iris
0.2647113606545372,virginica,SHAP,iris
0.45809659041732564,virginica,SHAP,iris
0.49886695513300866,virginica,SHAP,iris
0.47603421854822026,virginica,SHAP,iris
0.49952510745237877,virginica,SHAP,iris
0.482857805162667,virginica,SHAP,iris
0.46788719283870145,virginica,SHAP,iris
0.24165170936633748,virginica,SHAP,iris
0.4531602276813151,virginica,SHAP,iris
0.45980997409667684,virginica,SHAP,iris
-0.05915509650690117,virginica,SHAP,iris
0.4603984131703368,virginica,SHAP,iris
0.5050492186257379,virginica,SHAP,iris
