centroid,species,EM,dataset
0.26753483652837995,setosa,SHAP,iris
-0.6678190188311307,setosa,SHAP,iris
0.9783760519607594,setosa,SHAP,iris
0.9518520161382098,setosa,SHAP,iris
-0.6973988430891255,setosa,SHAP,iris
0.97176777698999,setosa,SHAP,iris
-0.5289156890826265,setosa,SHAP,iris
-0.018325321003354652,versicolor,SHAP,iris
-0.023864413618225062,versicolor,SHAP,iris
-0.1139317371595145,versicolor,SHAP,iris
0.20313153026383465,versicolor,SHAP,iris
0.4883458454097801,versicolor,SHAP,iris
0.018394287004461544,versicolor,SHAP,iris
-0.02150978605285686,versicolor,SHAP,iris
-0.05888457958709047,versicolor,SHAP,iris
-0.022848552161743384,versicolor,SHAP,iris
0.467109732033311,versicolor,SHAP,iris
-0.2746558297297207,versicolor,SHAP,iris
-0.034399803375186486,versicolor,SHAP,iris
0.446016455753652,versicolor,SHAP,iris
-0.043785780860514184,versicolor,SHAP,iris
-0.2117476521561973,versicolor,SHAP,iris
0.03707499833732267,versicolor,SHAP,iris
0.2357377613679289,versicolor,SHAP,iris
0.07879513009790659,versicolor,SHAP,iris
-0.03473344505220121,versicolor,SHAP,iris
-0.018448776745904758,versicolor,SHAP,iris
0.5887013491152489,versicolor,SHAP,iris
0.08695806636376475,versicolor,SHAP,iris
0.6450156966999465,versicolor,SHAP,iris
0.5049329942703157,versicolor,SHAP,iris
0.27292613079393396,versicolor,SHAP,iris
-0.027240429934310882,versicolor,SHAP,iris
-0.01194801407937836,versicolor,SHAP,iris
0.31921260458980777,versicolor,SHAP,iris
-0.0234227491913454,versicolor,SHAP,iris
0.048322328726972966,versicolor,SHAP,iris
-0.4828859066610873,virginica,SHAP,iris
-0.4560563373991382,virginica,SHAP,iris
0.7954074622899565,virginica,SHAP,iris
0.8103497980871868,virginica,SHAP,iris
-0.3670556506683239,virginica,SHAP,iris
-0.4916431781469296,virginica,SHAP,iris
-0.4769022285306298,virginica,SHAP,iris
0.8507506866013521,virginica,SHAP,iris
0.858157768759462,virginica,SHAP,iris
-0.366666903794245,virginica,SHAP,iris
0.5607570799913258,virginica,SHAP,iris
-0.4715872223776848,virginica,SHAP,iris
0.4576918031464656,virginica,SHAP,iris
0.8388060946154718,virginica,SHAP,iris
0.7024317600214173,virginica,SHAP,iris
-0.3846063716033308,virginica,SHAP,iris
0.7842950201603729,virginica,SHAP,iris
0.5027876975720224,virginica,SHAP,iris
-0.4787306531273088,virginica,SHAP,iris
0.8641200367165559,virginica,SHAP,iris
0.23801893730050155,virginica,SHAP,iris
0.8567928010918717,virginica,SHAP,iris
0.1805023186370348,virginica,SHAP,iris
0.30291662296833416,virginica,SHAP,iris
0.7180651832474615,virginica,SHAP,iris
-0.4430656016347508,virginica,SHAP,iris
